CN	016000	海南区	内蒙古自治区	20	乌海市	1503	海南区	6643400	39.44545	106.89132	4
CN	016100	鄂托克旗	内蒙古自治区	20	鄂尔多斯市	1506	鄂托克旗	1799152	39.27207	107.75553	4
CN	016200	鄂托克前旗	内蒙古自治区	20	鄂尔多斯市	1506	鄂托克前旗	1799151	38.25408	107.67924	4
CN	017000	东胜区	内蒙古自治区	20	鄂尔多斯市	1506	东胜区	1812255	39.82306	110.00538	4
CN	017000	鄂尔多斯市	内蒙古自治区	20	鄂尔多斯市	1506			39.46142	108.80946	4
CN	017100	准格尔旗	内蒙古自治区	20	鄂尔多斯市	1506	准格尔旗	1804940	39.86678	111.23282	4
CN	017200	伊金霍洛旗	内蒙古自治区	20	鄂尔多斯市	1506	伊金霍洛旗	1811740	39.55159	109.74919	4
CN	017300	乌审旗	内蒙古自治区	20	鄂尔多斯市	1506	乌审旗	1792275	38.59657	108.82552	4
CN	017400	杭锦旗	内蒙古自治区	20	鄂尔多斯市	1506	杭锦旗	1808938	40.04628	108.55413	4
CN	021000	呼伦贝尔市	内蒙古自治区	20	呼伦贝尔市	1507			49.70989	121.72176	4
CN	021000	海拉尔区	内蒙古自治区	20	呼伦贝尔市	1507	海拉尔区	2037076	49.21682	119.76259	4
CN	021100	鄂温克族自治旗	内蒙古自治区	20	呼伦贝尔市	1507	鄂温克族自治旗	2037435	48.96084	119.87462	4
CN	021200	新巴尔虎左旗	内蒙古自治区	20	呼伦贝尔市	1507	新巴尔虎左旗	2033797	48.26691	118.27205	4
CN	021300	新巴尔虎右旗	内蒙古自治区	20	呼伦贝尔市	1507	新巴爾虎右旗	2033796	48.74369	116.84987	4
CN	021400	满洲里市	内蒙古自治区	20	呼伦贝尔市	1507	满洲里市	2035835	49.47192	117.68293	4
CN	021500	陈巴尔虎旗	内蒙古自治区	20	呼伦贝尔市	1507	陳バルグ旗	2038088	49.33873	119.4246	4
CN	022150	牙克石市	内蒙古自治区	20	呼伦贝尔市	1507	牙克石市	2033535	49.32123	121.27807	4
CN	022250	额尔古纳市	内蒙古自治区	20	呼伦贝尔市	1507	额尔古纳右旗	2037477	51.67179	120.78139	4
CN	022350	根河市	内蒙古自治区	20	呼伦贝尔市	1507	额尔古纳左旗	2037478	51.23289	121.9099	4
